OK Obama: loop=3 bond=50
OK Rockefeller: loop=4 bond=33
OK Stan Lee: loop=5 bond=25
OK P1 Bappa: loop=2 bond=100
OK P2 Upulakshi: loop=2 bond=100
OK P3 Senith: loop=5 bond=25
OK P4 Niromi: loop=0 bond=0
OK Elon Musk: loop=0 bond=0
OK Bill Gates: loop=0 bond=0
OK Jeff Bezos: loop=0 bond=0
OK Steve Jobs: loop=4 bond=33
OK Albert Einstein: loop=2 bond=100
OK Warren Buffett: loop=0 bond=0
OK Mark Zuckerberg: loop=2 bond=100
OK Sachin Tendulkar: loop=3 bond=50
OK Mukesh Ambani: loop=2 bond=100
OK Oprah Winfrey: loop=2 bond=100
OK Mahatma Gandhi: loop=0 bond=0
OK Abraham Lincoln: loop=0 bond=0
OK Nelson Mandela: loop=3 bond=50
OK Walt Disney: loop=0 bond=0
OK Henry Ford: loop=3 bond=50
OK Michael Jackson: loop=0 bond=0
OK A.P.J. Abdul Kalam: loop=0 bond=0
