id,name,bond,loop_len
FP00001,Leonardo DiCaprio,0,0
FP00002,Taylor Swift,100,2
FP00003,Oprah Winfrey,100,2
FP00004,Dwayne Johnson,0,0
FP00005,Shakira,25,5
FP00006,Cristiano Ronaldo,50,3
FP00007,Lionel Messi,0,0
FP00008,Serena Williams,0,0
FP00009,Tiger Woods,100,2
FP00010,Michael Phelps,50,3
FP00011,Usain Bolt,50,3
FP00012,Neymar Jr,0,0
FP00013,Virat Kohli,100,2
FP00014,LeBron James,100,2
FP00015,Kobe Bryant,50,3
FP01027,Muhammad Ali,0,0
FP00017,Pele,100,2
FP00018,Diego Maradona,100,2
FP00019,Jennifer Aniston,50,3
FP00020,Angelina Jolie,0,0
FP00021,Brad Pitt,0,0
FP00022,Johnny Depp,0,0
FP00023,Will Smith,0,0
FP00024,Tom Cruise,0,0
FP00025,Meryl Streep,100,2
FP00026,Denzel Washington,50,3
FP00027,Morgan Freeman,100,2
FP00028,Tom Hanks,100,2
FP00029,Steven Spielberg,0,0
FP00030,James Cameron,33,4
FP00031,Quentin Tarantino,100,2
FP00032,Martin Scorsese,100,2
FP00033,Christopher Nolan,50,3
FP00034,Paul McCartney,0,0
FP00035,John Lennon,50,3
FP00036,George Harrison,33,4
FP00037,Ringo Starr,0,0
FP00038,Bob Dylan,100,2
FP00039,Winston Churchill,50,3
FP00040,Franklin D. Roosevelt,50,3
FP00041,Adolf Hitler,0,0
FP00042,Vladimir Lenin,50,3
FP00043,Joseph Stalin,100,2
FP00044,Benito Mussolini,100,2
FP00045,Dwight D. Eisenhower,0,0
FP00046,John F. Kennedy,0,0
FP00047,Ronald Reagan,33,4
FP00048,Margaret Thatcher,50,3
FP00049,Indira Gandhi,100,2
FP00050,Jawaharlal Nehru,0,0
FP00051,Rosa Parks,0,0
FP00052,Martin Luther King Jr,33,4
FP00053,Malcolm X,100,2
FP00054,Anne Frank,33,4
FP00055,Helen Keller,50,3
FP00056,Gianluigi Buffon,100,2
FP00057,Zinedine Zidane,100,2
FP00058,Ronaldinho,100,2
FP00059,Ronaldo,0,0
FP00060,Roger Federer,50,3
FP00061,Rafael Nadal,50,3
FP00062,Novak Djokovic,50,3
FP00063,Martina Navratilova,100,2
FP00064,Venus Williams,0,0
FP00065,Sachin Tendulkar,50,3
FP00066,Ricky Ponting,50,3
FP00067,Steve Smith,0,0
FP00068,Wasim Akram,100,2
FP00069,Brian Lara,50,3
FP00070,Viv Richards,100,2
FP00071,Imran Khan,50,3
FP00072,Shane Warne,0,0
FP00073,Elon Musk,0,0
FP00074,Bill Gates,0,0
FP00075,Jeff Bezos,0,0
FP00076,Steve Jobs,33,4
FP00077,Mark Zuckerberg,100,2
FP00078,Larry Page,50,3
FP00079,Sergey Brin,50,3
FP00080,Jack Ma,100,2
FP00081,Satya Nadella,50,3
FP00082,Tim Cook,50,3
FP00083,Sundar Pichai,100,2
FP00084,Sheryl Sandberg,0,0
FP00085,Susan Wojcicki,0,0
FP00086,Marissa Mayer,0,0
FP00087,Bob Iger,100,2
FP00088,Mary Barra,0,0
FP00089,Jamie Dimon,33,4
FP00090,Lloyd Blankfein,0,0
FP00091,Warren Buffett,0,0
FP00092,Mukesh Ambani,100,2
FP00093,Beyonce,0,0
FP00094,Albert Einstein,100,2
FP00095,Stephen Hawking,0,0
FP00096,Marie Curie,0,0
FP00097,Donald Trump,33,4
FP00098,Barack Obama,50,3
FP00099,John D. Rockefeller,33,4
FP00100,Stan Lee,25,5
FP00101,Mahatma Gandhi,0,0
FP00102,Abraham Lincoln,0,0
FP00103,Nelson Mandela,50,3
FP00104,Walt Disney,0,0
FP00105,Henry Ford,50,3
FP00106,Michael Jackson,0,0
FP00107,A.P.J. Abdul Kalam,0,0
FP00108,Polgahawela Bappa,100,2
FP00109,Upulakshi,100,2
FP00110,Senith,25,5
FP00111,Niromi,0,0
