iter	Passed	Remaining
0	387	193508
1	502	125176
2	616	102173
3	729	90403
4	842	83376
5	956	78745
6	1067	75184
7	1178	72478
8	1290	70405
9	1402	68722
10	1550	68915
11	1661	67549
12	1781	66741
13	1895	65809
14	2010	64995
15	2126	64318
16	2242	63701
17	2357	63121
18	2475	62664
19	2587	62103
20	2699	61569
21	2810	61062
22	2920	60573
23	3031	60131
24	3143	59720
25	3253	59322
26	3364	58948
27	3481	58686
28	3593	58365
29	3704	58044
30	3818	57773
31	3932	57507
32	4043	57219
33	4155	56949
34	4270	56736
35	4382	56489
36	4499	56299
37	4611	56066
38	4723	55830
39	4834	55599
40	4945	55364
41	5056	55143
42	5169	54937
43	5280	54725
44	5391	54517
45	5508	54367
46	5635	54313
47	5747	54126
48	5859	53931
49	5972	53752
50	6083	53561
51	6198	53403
52	6309	53215
53	6421	53038
54	6552	53014
55	6663	52835
56	6778	52685
57	6889	52500
58	6999	52318
59	7109	52137
60	7220	51964
61	7333	51804
62	7443	51634
63	7558	51492
64	7668	51322
65	7780	51161
66	7891	51000
67	8005	50858
68	8117	50706
69	8229	50551
70	8341	50399
71	8453	50248
72	8567	50115
73	8677	49954
74	8787	49796
75	8897	49640
76	9008	49487
77	9118	49331
78	9227	49173
79	9336	49017
80	9445	48860
81	9558	48722
82	9669	48582
83	9781	48441
84	9892	48300
85	10007	48173
86	10124	48063
87	10240	47944
88	10352	47806
89	10463	47668
90	10580	47555
91	10692	47418
92	10808	47301
93	10919	47160
94	11030	47022
95	11142	46892
96	11253	46752
97	11364	46617
98	11478	46495
99	11591	46364
100	11701	46226
101	11811	46086
102	11924	45962
103	12048	45876
104	12163	45759
105	12279	45642
106	12391	45510
107	12505	45391
108	12620	45271
109	12735	45154
110	12849	45032
111	12962	44906
112	13075	44781
113	13188	44654
114	13300	44527
115	13410	44394
116	13530	44292
117	13640	44157
118	13750	44026
119	13861	43893
120	13970	43759
121	14085	43640
122	14198	43518
123	14311	43397
124	14423	43270
125	14539	43157
126	14654	43040
127	14766	42914
128	14879	42792
129	14991	42668
130	15103	42544
131	15215	42417
132	15328	42297
133	15464	42239
134	15638	42283
135	15772	42215
136	15895	42117
137	16025	42037
138	16153	41951
139	16269	41836
140	16393	41739
141	16516	41639
142	16669	41615
143	16786	41501
144	16899	41373
145	17015	41256
146	17128	41131
147	17243	41011
148	17359	40894
149	17475	40777
150	17593	40663
151	17712	40551
152	17826	40430
153	17943	40315
154	18067	40214
155	18185	40102
156	18299	39978
157	18411	39853
158	18526	39733
159	18677	39688
160	18789	39562
161	18905	39443
162	19022	39329
163	19136	39205
164	19250	39085
165	19366	38966
166	19481	38846
167	19598	38729
168	19721	38625
169	19839	38512
170	19959	38401
171	20078	38288
172	20209	38199
173	20322	38075
174	20434	37949
175	20548	37827
176	20661	37704
177	20781	37594
178	20894	37470
179	21014	37359
180	21125	37232
181	21235	37104
182	21346	36977
183	21456	36849
184	21568	36725
185	21684	36607
186	21795	36481
187	21905	36354
188	22015	36226
189	22125	36100
190	22235	35972
191	22346	35847
192	22459	35725
193	22571	35603
194	22686	35483
195	22799	35363
196	22913	35243
197	23028	35123
198	23142	35004
199	23255	34882
200	23368	34762
201	23480	34639
202	23590	34514
203	23711	34405
204	23823	34281
205	23933	34157
206	24043	34033
207	24155	33910
208	24266	33787
209	24376	33662
210	24488	33540
211	24599	33417
212	24709	33293
213	24859	33223
214	24969	33098
215	25080	32975
216	25190	32852
217	25300	32727
218	25411	32605
219	25524	32485
220	25636	32364
221	25750	32246
222	25865	32128
223	25978	32008
224	26087	31885
225	26201	31766
226	26312	31644
227	26424	31523
228	26536	31403
229	26646	31280
230	26758	31159
231	26874	31044
232	26986	30924
233	27097	30803
234	27211	30685
235	27322	30564
236	27432	30441
237	27544	30322
238	27662	30208
239	27786	30102
240	27911	29996
241	28028	29881
242	28142	29764
243	28257	29647
244	28370	29528
245	28480	29406
246	28595	29289
247	28708	29171
248	28826	29057
249	28938	28938
250	29049	28818
251	29162	28699
252	29274	28580
253	29393	28467
254	29510	28353
255	29629	28240
256	29753	28132
257	29875	28022
258	29987	27903
259	30105	27789
260	30233	27685
261	30346	27566
262	30459	27447
263	30572	27330
264	30684	27210
