rank,saturn_sign,career_sector,enrichment,observed,expected
1,Aries,Legal & Compliance,1.102,844,765
2,Aquarius,Finance & Banking,0.914,888,971
3,Taurus,Finance & Banking,1.080,735,680
4,Aquarius,Government, Public Policy & Defense,1.076,1052,977
5,Scorpio,Finance & Banking,1.071,898,838
6,Taurus,Energy, Oil & Gas,0.930,638,686
7,Gemini,Education & Research,0.932,632,677
8,Capricorn,Real Estate & Construction,0.933,1054,1129
9,Aquarius,Engineering & Manufacturing,1.063,1043,981
10,Cancer,Agriculture & Environment,1.063,771,725
11,Gemini,Biotech & Pharmaceuticals,1.061,717,675
12,Leo,Education & Research,1.058,790,746
13,Scorpio,Hospitality, Tourism & Retail,0.944,795,842
14,Sagittarius,Consulting & Professional Services,1.056,1172,1110
15,Virgo,Logistics, Supply Chain & Transport,1.056,823,779
16,Cancer,Legal & Compliance,0.945,700,741
17,Libra,Real Estate & Construction,1.055,850,805
18,Taurus,Education & Research,1.053,716,679
19,Libra,Agriculture & Environment,0.948,764,806
20,Libra,Finance & Banking,0.949,761,802
21,Leo,Healthcare & Medicine,1.051,784,745
22,Leo,Engineering & Manufacturing,0.949,717,755
23,Cancer,Hospitality, Tourism & Retail,1.051,762,725
24,Aquarius,Hospitality, Tourism & Retail,1.050,1025,975
25,Aries,Finance & Banking,1.050,783,745
26,Aries,Agriculture & Environment,0.950,712,749
27,Sagittarius,Engineering & Manufacturing,0.950,1053,1108
28,Capricorn,Education & Research,0.951,1068,1122
29,Taurus,Engineering & Manufacturing,0.951,654,687
30,Cancer,Healthcare & Medicine,0.951,685,720
31,Gemini,Hospitality, Tourism & Retail,0.952,649,681
32,Aquarius,Energy, Oil & Gas,1.048,1026,979
33,Scorpio,Healthcare & Medicine,0.953,797,836
34,Capricorn,Engineering & Manufacturing,1.046,1188,1135
35,Scorpio,Biotech & Pharmaceuticals,1.046,874,835
36,Gemini,Arts, Media & Entertainment,1.045,717,685
37,Libra,Government, Public Policy & Defense,0.955,771,807
38,Aquarius,Consulting & Professional Services,0.956,940,982
39,Capricorn,Healthcare & Medicine,1.041,1167,1121
40,Libra,Arts, Media & Entertainment,0.959,778,810
41,Virgo,Real Estate & Construction,0.960,756,787
42,Scorpio,Legal & Compliance,0.961,827,860
43,Gemini,Real Estate & Construction,1.039,708,681
44,Gemini,Healthcare & Medicine,0.962,651,676
45,Scorpio,Logistics, Supply Chain & Transport,1.037,865,834
46,Aries,Government, Public Policy & Defense,0.963,723,750
47,Virgo,Government, Public Policy & Defense,1.037,818,789
48,Taurus,Agriculture & Environment,0.963,659,683
49,Taurus,Technology & AI,1.036,713,687
50,Aquarius,Legal & Compliance,0.964,961,997
51,Virgo,Healthcare & Medicine,0.966,755,781
52,Scorpio,Government, Public Policy & Defense,0.966,816,844
53,Cancer,Government, Public Policy & Defense,1.033,751,726
54,Virgo,Technology & AI,0.967,766,792
55,Pisces,Agriculture & Environment,1.032,779,754
56,Capricorn,Logistics, Supply Chain & Transport,0.968,1082,1118
57,Virgo,Energy, Oil & Gas,0.968,765,790
58,Leo,Arts, Media & Entertainment,1.032,780,755
59,Libra,Engineering & Manufacturing,1.032,836,810
60,Capricorn,Hospitality, Tourism & Retail,1.032,1165,1129
61,Sagittarius,Finance & Banking,0.969,1063,1097
62,Taurus,Healthcare & Medicine,1.031,700,678
63,Cancer,Biotech & Pharmaceuticals,0.969,697,719
64,Taurus,Arts, Media & Entertainment,1.030,709,688
65,Taurus,Real Estate & Construction,0.970,663,683
66,Aries,Engineering & Manufacturing,1.030,776,753
67,Libra,Legal & Compliance,1.030,848,823
68,Leo,Hospitality, Tourism & Retail,0.970,729,751
69,Virgo,Agriculture & Environment,1.029,811,787
70,Gemini,Logistics, Supply Chain & Transport,0.971,655,674
71,Pisces,Government, Public Policy & Defense,0.971,734,755
72,Aquarius,Arts, Media & Entertainment,0.972,954,981
73,Pisces,Logistics, Supply Chain & Transport,1.028,768,746
74,Pisces,Energy, Oil & Gas,0.972,736,757
75,Sagittarius,Biotech & Pharmaceuticals,0.973,1063,1092
76,Aries,Hospitality, Tourism & Retail,0.973,729,749
77,Capricorn,Technology & AI,0.973,1106,1136
78,Pisces,Healthcare & Medicine,1.027,769,749
79,Cancer,Logistics, Supply Chain & Transport,0.974,699,718
80,Pisces,Technology & AI,0.974,739,759
81,Cancer,Energy, Oil & Gas,1.026,747,727
82,Capricorn,Energy, Oil & Gas,1.026,1163,1133
83,Aries,Consulting & Professional Services,0.974,735,754
84,Libra,Education & Research,1.026,822,801
85,Libra,Healthcare & Medicine,1.024,819,800
86,Pisces,Arts, Media & Entertainment,1.024,777,759
87,Sagittarius,Technology & AI,1.023,1135,1108
88,Virgo,Hospitality, Tourism & Retail,1.023,806,787
89,Gemini,Energy, Oil & Gas,1.023,700,684
90,Sagittarius,Arts, Media & Entertainment,0.977,1084,1109
91,Capricorn,Finance & Banking,1.021,1148,1124
92,Aquarius,Biotech & Pharmaceuticals,0.979,947,967
93,Cancer,Engineering & Manufacturing,0.979,714,729
