Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry
Enrico Fermi,1901-09-29,Rome,,Italy
Paul Dirac,1902-08-08,Bristol,England,United Kingdom
J. Robert Oppenheimer,1904-04-22,New York,New York,United States
Hans Bethe,1906-07-02,Strasbourg,Alsace-Lorraine,Germany
John Bardeen,1908-05-23,Madison,Wisconsin,United States
Richard Feynman,1918-05-11,New York,New York,United States
Julian Schwinger,1918-02-12,New York,New York,United States
Chen-Ning Yang,1922-10-01,Hefei,Anhui,China
Abdus Salam,1926-01-29,Jhang,Punjab,Pakistan
Murray Gell-Mann,1929-09-15,New York,New York,United States
Peter Higgs,1929-05-29,Newcastle upon Tyne,England,United Kingdom
Steven Weinberg,1933-05-03,New York,New York,United States
Carl Sagan,1934-11-09,New York,New York,United States
Stephen Hawking,1942-01-08,Oxford,England,United Kingdom
Kip Thorne,1940-06-01,Logan,Utah,United States
S. Chandrasekhar,1910-10-19,Lahore,Punjab,British India
Maria Goeppert Mayer,1906-06-28,Katowice,Silesia,Germany
Emilio Segrè,1905-02-01,Tivoli,Lazio,Italy
Luis Alvarez,1911-06-13,San Francisco,California,United States
Charles Townes,1915-07-28,Greenville,South Carolina,United States
Gerardus 't Hooft,1946-07-05,Den Helder,North Holland,Netherlands
David Gross,1941-02-19,Washington,District of Columbia,United States
Frank Wilczek,1951-05-15,Mineola,New York,United States
Roger Penrose,1931-08-08,Colchester,England,United Kingdom
Anton Zeilinger,1945-05-20,Ried im Innkreis,Upper Austria,Austria
John von Neumann,1903-12-28,Budapest,,Hungary
Andrey Kolmogorov,1903-04-25,Tambov,,Russia
Kurt Gödel,1906-04-28,Brno,Moravia,Austria-Hungary
Alan Turing,1912-06-23,London,England,United Kingdom
Claude Shannon,1916-04-30,Petoskey,Michigan,United States
Laurent Schwartz,1915-03-02,Paris,Île-de-France,France
Jean-Pierre Serre,1926-09-15,Bages,Pyrénées-Orientales,France
Alexander Grothendieck,1928-03-28,Berlin,,Germany
John Nash,1928-06-13,Bluefield,West Virginia,United States
Michael Atiyah,1929-04-22,Hampstead,London,United Kingdom
Paul Cohen,1934-04-02,Long Branch,New Jersey,United States
Stephen Smale,1930-07-15,Flint,Michigan,United States
John Milnor,1931-02-20,Orange,New Jersey,United States
Atle Selberg,1917-06-14,Langesund,Telemark,Norway
Shiing-Shen Chern,1911-10-28,Jiaxing,Zhejiang,China
Grigori Perelman,1966-06-13,Leningrad,,Soviet Union
Terence Tao,1975-07-17,Adelaide,South Australia,Australia
Maryam Mirzakhani,1977-05-12,Tehran,,Iran
Edward Witten,1951-08-26,Baltimore,Maryland,United States
Yau Shing-Tung,1949-04-04,Shantou,Guangdong,China
Grace Hopper,1906-12-09,New York,New York,United States
John Backus,1924-12-03,Philadelphia,Pennsylvania,United States
Edsger Dijkstra,1930-05-11,Rotterdam,South Holland,Netherlands
Donald Knuth,1938-01-10,Milwaukee,Wisconsin,United States
