Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry,PrimaryField,MainContribution
Philip Kotler,1931-05-27,Chicago,Illinois,United States,Marketing Strategy,Modern Marketing Management
David Aaker,1938-08-11,Fargo,North Dakota,United States,Brand Strategy,Equity Model & Brand Architecture
Kevin Lane Keller,1956-06-23,Kansas City,Missouri,United States,Brand Management,Customer-Based Brand Equity
Byron Sharp,1962-11-15,Adelaide,South Australia,Australia,Marketing Science,How Brands Grow Empirical Laws
Martin Lindstrom,1970-01-19,Copenhagen,,Denmark,Consumer Behavior,Neuromarketing & Brand Sense
Seth Godin,1960-07-10,Mount Vernon,New York,United States,Brand Strategy,Permission Marketing & Purple Cow
Al Ries,1926-11-14,Indianapolis,Indiana,United States,Brand Strategy,Positioning Theory
Jack Trout,1935-01-31,New York City,New York,United States,Brand Strategy,Positioning Strategy
Theodore Levitt,1925-03-01,Vollmerz,,Germany,Marketing Strategy,Marketing Myopia
Clayton Christensen,1952-04-06,Salt Lake City,Utah,United States,Innovation Strategy,Disruptive Innovation & Jobs-to-be-Done
Daniel Kahneman,1934-03-05,Tel Aviv,,Israel,Behavioral Economics,Prospect Theory & Behavioral Decision Making
Richard Thaler,1945-09-12,East Orange,New Jersey,United States,Behavioral Economics,Nudge Theory & Mental Accounting
Gerald Zaltman,1938-03-24,Batesville,Indiana,United States,Consumer Research,Zaltman Metaphor Elicitation Technique
Jennifer Aaker,1967-05-18,Palo Alto,California,United States,Consumer Psychology,Brand Personality Dimensions
Jagdish Sheth,1938-09-15,Balsinor,Gujarat,India,Consumer Behavior,Theory of Buyer Behavior
Leonard Berry,1942-05-18,Boston,Massachusetts,United States,Service Marketing,SERVQUAL & Service Quality
Don Peppers,1950-09-15,Houston,Texas,United States,Customer Relationship Management,One-to-One Marketing
Martha Rogers,1950-02-14,Cincinnati,Ohio,United States,Customer Relationship Management,Customer-Centric Enterprise
Peter Doyle,1938-07-12,Liverpool,Merseyside,United Kingdom,Marketing Strategy,Value-Based Marketing
Roger Best,1942-04-10,Portland,Oregon,United States,Marketing Analytics,Market-Based Management
E. Jerome McCarthy,1928-02-20,Detroit,Michigan,United States,Marketing Strategy,The 4 Ps of Marketing
Shelby Hunt,1943-07-03,Macon,Georgia,United States,Marketing Theory,Resource-Advantage Theory
Douglas B. Holt,1959-04-12,Chicago,Illinois,United States,Brand Strategy,Cultural Branding
Russell Belk,1947-06-15,Salt Lake City,Utah,United States,Consumer Behavior,Consumer Possessions and Extended Self
Sidney Levy,1921-03-28,Chicago,Illinois,United States,Consumer Research,Symbolic Consumption & Brand Image
William Lazer,1923-01-14,Toronto,Ontario,Canada,Marketing Strategy,Lifestyle Marketing
Yoram Wind,1936-11-20,Haifa,,Israel,Marketing Science,Organizational Buying Behavior & Market Segmentation
V. Kumar,1957-08-03,Chennai,Tamil Nadu,India,Marketing Analytics,Customer Lifetime Value (CLV)
A. Parasuraman,1941-11-29,Chennai,Tamil Nadu,India,Service Marketing,SERVQUAL Scale for Service Quality
Valerie Zeithaml,1948-03-12,Wilmington,North Carolina,United States,Service Marketing,Service Quality Model
Christian Grönroos,1947-03-17,Helsinki,,Finland,Service Marketing,Relationship Marketing & Service Management
Evert Gummesson,1936-07-22,Stockholm,,Sweden,Service Marketing,Total Relationship Marketing
Richard Lutz,1946-09-08,Pittsburgh,Pennsylvania,United States,Consumer Psychology,Consumer Attitude Models
Brian Wansink,1960-03-15,Sioux City,Iowa,United States,Consumer Behavior,Mindless Eating & Food Psychology
Robert Cialdini,1945-04-27,Milwaukee,Wisconsin,United States,Consumer Psychology,Six Principles of Persuasion
Dan Ariely,1967-04-29,New York City,New York,United States,Behavioral Economics,Irrational Behavior & Behavioral Pricing
Cass Sunstein,1954-09-21,Concord,Massachusetts,United States,Behavioral Economics,Nudge Architecture
Amos Tversky,1937-03-16,Haifa,,Israel,Behavioral Economics,Prospect Theory & Heuristics
George Day,1938-12-14,Edmonton,Alberta,Canada,Marketing Strategy,Market-Driven Strategy
Frank Bass,1926-12-11,Cuero,Texas,United States,Marketing Science,Bass Diffusion Model
John Little,1928-09-03,New York City,New York,United States,Marketing Science,Little's Law & Marketing Decision Systems
Donald Morrison,1939-01-15,Vancouver,British Columbia,Canada,Marketing Science,Stochastic Models of Buyer Behavior
Glen Urban,1939-05-04,Cincinnati,Ohio,United States,Marketing Science,Pre-Test Market Models
Derek Abel,1939-10-02,London,,United Kingdom,Marketing Strategy,Strategic Windows
Michael Porter,1947-05-23,Ann Arbor,Michigan,United States,Marketing Strategy,Competitive Strategy & Five Forces
Patricia Myers,1914-11-08,Tokyo,,Japan,Branding Consultancy,Retail Shopper Psychology and In-Store Decision Dynamics
Deborah Cox,1923-03-22,London,,United Kingdom,Digital Marketing Research,Behavioral Nudges in Consumer Choice
Scott Johnson,1963-12-21,New York City,New York,United States,Digital Marketing Research,B2B Relationship Marketing Frameworks
Brian Alvarez,1948-11-27,Cairo,,Egypt,Luxury Brand Strategy,Omnichannel Retail Strategy and Customer Experience
Lisa Cook,1946-03-12,Buenos Aires,,Argentina,Brand Strategy,Cross-Cultural Consumer Behavior Analysis
Mary Davis,1920-09-07,Singapore,,Singapore,Brand Management,Pricing Elasticity and Consumer Choice Architecture
Karen Thomas,1908-10-21,London,,United Kingdom,Academic Marketing Research,Innovation Diffusion and New Product Adoption Models
Karen Kelly,1943-08-15,Toronto,Ontario,Canada,Innovation Strategy,Brand Equity Valuation Frameworks
Larry Evans,1903-02-06,Cairo,,Egypt,Brand Management,Digital Attribution and Customer Lifetime Value Modeling
Christine Rogers,1917-10-12,London,,United Kingdom,Customer Psychology,Behavioral Nudges in Consumer Choice
Maria Thomas,1947-08-14,Mumbai,Maharashtra,India,Luxury Brand Strategy,Social Media Influence and Word-of-Mouth Propagation
Amy Parker,1923-10-25,Milan,,Italy,Market Research,Social Media Influence and Word-of-Mouth Propagation
Donald Mitchell,1964-09-07,São Paulo,São Paulo,Brazil,Consumer Research,Innovation Diffusion and New Product Adoption Models
Thomas Price,1962-11-19,Seoul,,South Korea,Marketing Science,Neuromarketing and Emotional Engagement Measurement
Stephen Scott,1904-10-07,São Paulo,São Paulo,Brazil,Behavioral Economics,Pricing Elasticity and Consumer Choice Architecture
Amanda Anderson,1933-01-16,Paris,,France,Brand Strategy,Innovation Diffusion and New Product Adoption Models
Anna Sanders,1934-01-03,Paris,,France,Service Marketing,Behavioral Nudges in Consumer Choice
John Smith,1904-10-23,Zurich,,Switzerland,Behavioral Economics,Luxury Brand Scarcity and Prestige Positioning
Charles Brooks,1914-10-10,Milan,,Italy,Branding Consultancy,Omnichannel Retail Strategy and Customer Experience
Catherine Diaz,1903-05-23,Tokyo,,Japan,Pricing Strategy,Omnichannel Retail Strategy and Customer Experience
Gregory Young,1935-07-27,Cape Town,,South Africa,Consumer Behavior,B2B Relationship Marketing Frameworks
Alexander Cook,1956-05-06,Melbourne,Victoria,Australia,Digital Marketing Research,Empirical Generalizations in Marketing
Jacob Cook,1974-10-23,Tokyo,,Japan,Consumer Research,Brand Equity Valuation Frameworks
Jason Cook,1976-09-03,Tokyo,,Japan,Advertising Strategy,Service Quality and Customer Satisfaction Metrics
Jason Rodriguez,1961-05-01,Cape Town,,South Africa,Customer Psychology,Innovation Diffusion and New Product Adoption Models
Timothy Brooks,1958-06-24,São Paulo,São Paulo,Brazil,Academic Marketing Research,Brand Equity Valuation Frameworks
Lisa Stewart,1951-12-07,London,,United Kingdom,Brand Strategy,Brand Equity Valuation Frameworks
Barbara Wood,1958-01-02,London,,United Kingdom,Marketing Strategy,Brand Personality Scale and Self-Congruity Theory
Carolyn Smith,1918-02-21,Melbourne,Victoria,Australia,Advertising Strategy,Brand Personality Scale and Self-Congruity Theory
Emily Edwards,1974-08-27,Seoul,,South Korea,Advertising Strategy,Service Quality and Customer Satisfaction Metrics
Donna Powell,1969-06-11,Stockholm,,Sweden,Luxury Brand Strategy,Brand Equity Valuation Frameworks
Dorothy Morris,1969-03-20,Sydney,New South Wales,Australia,Branding Consultancy,B2B Relationship Marketing Frameworks
Kimberly Perez,1919-07-20,São Paulo,São Paulo,Brazil,Consumer Research,Service Quality and Customer Satisfaction Metrics
Brandon James,1900-11-28,Singapore,,Singapore,Customer Psychology,Neuromarketing and Emotional Engagement Measurement
Richard Jackson,1959-01-02,New York City,New York,United States,Luxury Brand Strategy,Behavioral Nudges in Consumer Choice
