OK Elon Musk: signs={'Sun': 'Gemini', 'Moon': 'Leo', 'Mars': 'Capricorn', 'Mercury': 'Gemini', 'Jupiter': 'Scorpio', 'Venus': 'Taurus', 'Saturn': 'Taurus', 'Rahu': 'Capricorn', 'Ketu': 'Cancer'}
OK Bill Gates: signs={'Sun': 'Libra', 'Moon': 'Pisces', 'Mars': 'Virgo', 'Mercury': 'Virgo', 'Jupiter': 'Leo', 'Venus': 'Libra', 'Saturn': 'Libra', 'Rahu': 'Scorpio', 'Ketu': 'Taurus'}
OK Jeff Bezos: signs={'Sun': 'Sagittarius', 'Moon': 'Scorpio', 'Mars': 'Capricorn', 'Mercury': 'Sagittarius', 'Jupiter': 'Pisces', 'Venus': 'Aquarius', 'Saturn': 'Capricorn', 'Rahu': 'Gemini', 'Ketu': 'Sagittarius'}
OK Steve Jobs: signs={'Sun': 'Aquarius', 'Moon': 'Pisces', 'Mars': 'Aries', 'Mercury': 'Capricorn', 'Jupiter': 'Gemini', 'Venus': 'Sagittarius', 'Saturn': 'Libra', 'Rahu': 'Sagittarius', 'Ketu': 'Gemini'}
OK Albert Einstein: signs={'Sun': 'Pisces', 'Moon': 'Scorpio', 'Mars': 'Capricorn', 'Mercury': 'Pisces', 'Jupiter': 'Aquarius', 'Venus': 'Pisces', 'Saturn': 'Pisces', 'Rahu': 'Capricorn', 'Ketu': 'Cancer'}
OK Warren Buffett: signs={'Sun': 'Leo', 'Moon': 'Scorpio', 'Mars': 'Gemini', 'Mercury': 'Virgo', 'Jupiter': 'Gemini', 'Venus': 'Virgo', 'Saturn': 'Sagittarius', 'Rahu': 'Aries', 'Ketu': 'Libra'}
OK Mark Zuckerberg: signs={'Sun': 'Taurus', 'Moon': 'Libra', 'Mars': 'Libra', 'Mercury': 'Aries', 'Jupiter': 'Sagittarius', 'Venus': 'Aries', 'Saturn': 'Libra', 'Rahu': 'Taurus', 'Ketu': 'Scorpio'}
OK Sachin Tendulkar: signs={'Sun': 'Sagittarius', 'Moon': 'Sagittarius', 'Mars': 'Aries', 'Mercury': 'Scorpio', 'Jupiter': 'Capricorn', 'Venus': 'Capricorn', 'Saturn': 'Gemini', 'Rahu': 'Sagittarius', 'Ketu': 'Gemini'}
OK Mukesh Ambani: signs={'Sun': 'Aries', 'Moon': 'Sagittarius', 'Mars': 'Taurus', 'Mercury': 'Aries', 'Jupiter': 'Leo', 'Venus': 'Aries', 'Saturn': 'Scorpio', 'Rahu': 'Libra', 'Ketu': 'Aries'}
OK Oprah Winfrey: signs={'Sun': 'Capricorn', 'Moon': 'Scorpio', 'Mars': 'Scorpio', 'Mercury': 'Capricorn', 'Jupiter': 'Taurus', 'Venus': 'Capricorn', 'Saturn': 'Libra', 'Rahu': 'Capricorn', 'Ketu': 'Cancer'}
OK Mahatma Gandhi: signs={'Sun': 'Virgo', 'Moon': 'Leo', 'Mars': 'Libra', 'Mercury': 'Libra', 'Jupiter': 'Aries', 'Venus': 'Libra', 'Saturn': 'Scorpio', 'Rahu': 'Cancer', 'Ketu': 'Capricorn'}
OK Abraham Lincoln: signs={'Sun': 'Aquarius', 'Moon': 'Capricorn', 'Mars': 'Libra', 'Mercury': 'Aquarius', 'Jupiter': 'Pisces', 'Venus': 'Pisces', 'Saturn': 'Scorpio', 'Rahu': 'Libra', 'Ketu': 'Aries'}
OK Nelson Mandela: signs={'Sun': 'Cancer', 'Moon': 'Libra', 'Mars': 'Virgo', 'Mercury': 'Cancer', 'Jupiter': 'Gemini', 'Venus': 'Taurus', 'Saturn': 'Cancer', 'Rahu': 'Scorpio', 'Ketu': 'Taurus'}
OK Walt Disney: signs={'Sun': 'Scorpio', 'Moon': 'Virgo', 'Mars': 'Sagittarius', 'Mercury': 'Scorpio', 'Jupiter': 'Sagittarius', 'Venus': 'Capricorn', 'Saturn': 'Sagittarius', 'Rahu': 'Libra', 'Ketu': 'Aries'}
OK Henry Ford: signs={'Sun': 'Cancer', 'Moon': 'Capricorn', 'Mars': 'Leo', 'Mercury': 'Cancer', 'Jupiter': 'Virgo', 'Venus': 'Leo', 'Saturn': 'Virgo', 'Rahu': 'Scorpio', 'Ketu': 'Taurus'}
OK Michael Jackson: signs={'Sun': 'Leo', 'Moon': 'Aquarius', 'Mars': 'Aries', 'Mercury': 'Leo', 'Jupiter': 'Libra', 'Venus': 'Cancer', 'Saturn': 'Scorpio', 'Rahu': 'Libra', 'Ketu': 'Aries'}
OK A.P.J. Abdul Kalam: signs={'Sun': 'Virgo', 'Moon': 'Scorpio', 'Mars': 'Libra', 'Mercury': 'Virgo', 'Jupiter': 'Cancer', 'Venus': 'Libra', 'Saturn': 'Sagittarius', 'Rahu': 'Pisces', 'Ketu': 'Virgo'}
