Name,Birth Date,Birthplace,Country,Profession,Major Achievement,Peak Year,Peak Event Date,Birth Time (UTC),Rodden Rating,Data Source,Natal Saturn Sign,Natal Saturn Degree,Natal Saturn House,Natal Saturn Dignity,Transit Saturn Sign,Transit Saturn Degree,Saturn Pattern,Pattern Type,Calculation Status,Notes
Steve Jobs,1955-02-24,"San Francisco, CA",USA,Technology Founder,Apple Computer co-founder,2001,2001-06-21,19:15,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Bill Gates,1955-10-28,"Seattle, WA",USA,Technology Founder,Microsoft co-founder,1995,1995-06-21,22:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Warren Buffett,1930-08-30,"Omaha, NE",USA,Investor,Berkshire Hathaway CEO,1980,1980-06-21,15:45,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Oprah Winfrey,1954-01-29,"Kosciusko, MS",USA,Media Executive,Oprah Show peak,1990,1990-06-21,07:33,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Elon Musk,1971-06-28,"Pretoria, South Africa",South Africa,Technology Entrepreneur,Tesla/SpaceX success,2015,2015-06-21,06:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Jeff Bezos,1964-01-12,"Albuquerque, NM",USA,Technology Founder,Amazon IPO/peak,1997,1997-06-21,19:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
John Maynard Keynes,1883-06-05,"Cambridge, England",UK,Economist,General Theory publication,1936,1936-06-21,03:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Adam Smith,1723-06-16,"Kirkcaldy, Scotland",UK,Economist,Wealth of Nations,1776,1776-06-21,14:30,B,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Albert Einstein,1879-03-14,"Ulm, Germany",Germany,Physicist,Annus Mirabilis papers,1905,1905-06-21,11:30,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Marie Curie,1867-11-24,"Warsaw, Poland",Poland,Scientist,Radium discovery,1898,1898-06-21,14:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
