q_id,name,birth_date,occupation,job_group,exalted_planets,exalted_count,sign_conjunctions,conjunction_count,sign_exchange_candidates,exchange_count,Sun_exalted,Moon_exalted,Mercury_exalted,Venus_exalted,Mars_exalted,Jupiter_exalted,Saturn_exalted
Q1,Ali al-Ridha,0766-01-01,8th Imam of Twelver Shia Islam,Religion,Moon|Mars,2,Moon-Saturn|Mercury-Mars,2,Mercury-Saturn,1,False,True,False,False,True,False,False
Q2,Arnold Drakenborch,1684-01-01,Dutch scholar and author,Academic_Science,None,0,None,0,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q3,William Clowes,1779-01-01,English publisher,Other,None,0,None,0,None,0,False,False,False,False,False,False,False
Q4,Ludovic Halévy,1834-01-01,French author and playwright,Writer_Journalism,None,0,Mercury-Venus|Mercury-Mars|Venus-Mars,3,Jupiter-Mars,1,False,False,False,False,False,False,False
Q5,Alfred Stieglitz,1864-01-01,American photographer and curator,Other,None,0,Venus-Jupiter,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q6,Chesley Bonestell,1888-01-01,"American painter, designer, and illustrator",Writer_Journalism,None,0,Moon-Saturn|Venus-Jupiter,2,None,0,False,False,False,False,False,False,False
Q7,Buster Nupen,1902-01-01,Norwegian-South African cricketer and lawyer,Athlete,Mars,1,Sun-Mercury|Sun-Saturn|Jupiter-Saturn,3,None,0,False,False,False,False,True,False,False
Q8,Patrick Anthony Porteous,1918-01-01,"Scottish colonel, Victoria Cross recipient",Other,None,0,Sun-Mercury,1,None,0,False,False,False,False,False,False,False
Q9,Ernest Tidyman,1928-01-01,American author and screenwriter,Writer_Journalism,None,0,Sun-Mercury|Mars-Saturn,2,None,0,False,False,False,False,False,False,False
Q10,Prathia Hall,1940-01-01,American civil rights movement activist,Other,None,0,Mars-Jupiter,1,None,0,False,False,False,False,False,False,False
Q11,Gary Johnson,1953-01-01,"American businessman and politician, 29th Governor of New Mexico",Politics_Government,Saturn,1,Venus-Mars,1,Saturn-Venus,1,False,False,False,False,False,False,True
Q12,Dedee Pfeiffer,1964-01-01,American actress,Actor_Media,None,0,Sun-Mercury|Mercury-Mars,2,None,0,False,False,False,False,False,False,False
Q13,Tank,1976-01-01,"American singer, songwriter, producer, and actor",Actor_Media,None,0,Sun-Moon,1,Mars-Venus,1,False,False,False,False,False,False,False
Q14,Pablo Cuevas,1986-01-01,Uruguayan tennis player,Athlete,None,0,Sun-Venus,1,None,0,False,False,False,False,False,False,False
Q15,Sardar Azmoun,1995-01-01,Iranian footballer,Athlete,None,0,Sun-Moon,1,None,0,False,False,False,False,False,False,False
Q16,Yōzei,1834-01-02,Japanese emperor,Politics_Government,None,0,Moon-Saturn|Mercury-Venus|Mercury-Mars|Venus-Mars,4,Jupiter-Mars,1,False,False,False,False,False,False,False
Q17,Marie Dumesnil,1713-01-02,French actress,Actor_Media,None,0,Venus-Jupiter,1,None,0,False,False,False,False,False,False,False
Q18,Pyotr Semyonov-Tyan-Shansky,1827-01-02,Russian geographer and statistician,Other,None,0,None,0,None,0,False,False,False,False,False,False,False
Q19,Gilbert Murray,1866-01-02,Australian-English playwright and scholar,Academic_Science,Saturn,1,Sun-Jupiter|Mercury-Venus|Mercury-Mars|Venus-Mars,4,None,0,False,False,False,False,False,False,True
Q20,Apsley Cherry-Garrard,1886-01-02,English explorer and author,Writer_Journalism,None,0,None,0,None,0,False,False,False,False,False,False,False
Q21,Theodore Plucknett,1897-01-02,English legal historian,Writer_Journalism,None,0,None,0,Jupiter-Sun,1,False,False,False,False,False,False,False
Q22,Michael Tippett,1905-01-02,English composer and conductor,Other,None,0,Sun-Mercury|Venus-Saturn,2,None,0,False,False,False,False,False,False,False
Q23,Isaac Asimov,1920-01-02,American writer and professor of biochemistry,Academic_Science,Moon|Jupiter,2,None,0,Mars-Mercury,1,False,True,False,False,False,True,False
Q24,John Hollowbread,1934-01-02,"English footballer, goalkeeper",Athlete,Mars,1,Venus-Saturn,1,Jupiter-Mercury,1,False,False,False,False,True,False,False
Q25,Charlie Davis,1944-01-02,Trinidadian cricketer,Athlete,None,0,None,0,Mars-Venus|Jupiter-Sun,2,False,False,False,False,False,False,False
Q26,Gabrielle Carteris,1961-01-02,American actress,Actor_Media,None,0,Sun-Mercury|Sun-Jupiter|Sun-Saturn|Mercury-Jupiter|Jupiter-Saturn,5,None,0,False,False,False,False,False,False,False
Q27,Eric Whitacre,1970-01-02,American composer and conductor,Other,None,0,Sun-Venus|Moon-Jupiter,2,Mars-Saturn|Jupiter-Venus,2,False,False,False,False,False,False,False
Q28,Brian Boucher,1977-01-02,American ice hockey player and sportscaster,Athlete,Moon,1,None,0,Jupiter-Mars,1,False,True,False,False,False,False,False
Q29,Germán Cano,1988-01-02,Argentine footballer,Athlete,None,0,Sun-Mercury,1,None,0,False,False,False,False,False,False,False
Q30,Arshad Nadeem,1997-01-02,Pakistani javelin thrower,Other,None,0,Sun-Mercury,1,Jupiter-Saturn,1,False,False,False,False,False,False,False
