name,event_date,event_type,event_description,ruling_mahadasha,ruling_antardasha,source_url,source_type,dataset_role,event_class,saturn_sign,saturn_degree,saturn_retrograde,saturn_speed_deg_day,jupiter_sign,jupiter_retrograde,venus_sign,venus_retrograde,mars_sign,mars_retrograde,mercury_retrograde,eclipse_proxy,lunar_phase
Indira Gandhi,1966-01-24,career_peak,Elected Prime Minister of India,Jupiter,Saturn,https://en.wikipedia.org/wiki/Indira_Gandhi,wikipedia,reference_only_not_Q,positive_or_gain,Aquarius,21.19427512,False,0.10336771,Taurus,True,Capricorn,True,Aquarius,False,False,False,Waxing Crescent
Indira Gandhi,1971-12-16,military_victory,Bangladesh Liberation War victory,Saturn,Ketu,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1971,wikipedia,reference_only_not_Q,positive_or_gain,Taurus,7.94024254,True,-0.0724108,Scorpio,False,Sagittarius,False,Pisces,False,True,False,New Moon
Indira Gandhi,1975-06-25,political_crisis,Declared National Emergency,Saturn,Sun,https://en.wikipedia.org/wiki/The_Emergency_(India),wikipedia,reference_only_not_Q,negative_or_loss,Gemini,26.39678888,False,0.1261991,Pisces,False,Cancer,False,Aries,False,False,False,Full Moon
Indira Gandhi,1977-03-24,electoral_defeat,Lost general election,Saturn,Moon,https://en.wikipedia.org/wiki/1977_Indian_general_election,wikipedia,reference_only_not_Q,negative_or_loss,Cancer,16.69298204,True,-0.03159207,Taurus,False,Pisces,True,Aquarius,False,False,False,Waxing Crescent
Indira Gandhi,1980-01-14,comeback,Re-elected Prime Minister,Saturn,Rahu,https://en.wikipedia.org/wiki/1980_Indian_general_election,wikipedia,reference_only_not_Q,positive_or_gain,Virgo,3.39117799,True,-0.01380691,Leo,True,Aquarius,False,Leo,False,False,False,Waning Crescent
Indira Gandhi,1984-10-31,death,Assassinated by bodyguards,Saturn,Saturn,https://en.wikipedia.org/wiki/Assassination_of_Indira_Gandhi,wikipedia,reference_only_not_Q,negative_or_loss,Libra,24.14121393,False,0.11863393,Sagittarius,False,Scorpio,False,Sagittarius,False,False,False,First Quarter
Oprah Winfrey,1986-09-08,career_breakthrough,The Oprah Winfrey Show goes national,Ketu,Mercury,https://en.wikipedia.org/wiki/The_Oprah_Winfrey_Show,wikipedia,reference_only_not_Q,positive_or_gain,Scorpio,10.22752921,False,0.05065552,Aquarius,True,Libra,False,Sagittarius,False,False,False,Waxing Crescent
Oprah Winfrey,1988-06-01,business_milestone,Gained full ownership of Harpo,Venus,Ketu,https://en.wikipedia.org/wiki/Harpo_Productions,wikipedia,reference_only_not_Q,positive_or_gain,Sagittarius,6.91315196,True,-0.06728352,Aries,False,Gemini,True,Aquarius,False,True,True,Full Moon
Oprah Winfrey,2011-05-25,career_closure,Final episode of Oprah Show,Sun,Jupiter,https://en.wikipedia.org/wiki/The_Oprah_Winfrey_Show,wikipedia,reference_only_not_Q,unclassified,Virgo,16.7134855,True,-0.03076328,Aries,False,Aries,False,Aries,False,False,False,Last Quarter
Oprah Winfrey,2018-01-09,recognition,Golden Globes Cecil B DeMille speech,Moon,Rahu,https://en.wikipedia.org/wiki/Oprah_Winfrey,wikipedia,reference_only_not_Q,positive_or_gain,Sagittarius,8.27107181,False,0.11476717,Libra,False,Sagittarius,False,Libra,False,False,False,Last Quarter
