q_id,name,event_type,event_date,date_precision,date_raw,source_url,source_field,verification_status,saturn_sign,saturn_degree,saturn_retrograde,jupiter_sign,jupiter_retrograde,venus_sign,mars_sign,planetary_data_status
Q8,Patrick Anthony Porteous,death,2000-10-09,day,9 October 2000,https://en.wikipedia.org/wiki/Patrick_Anthony_Porteous,death_date,candidate_extraction_only,Taurus,6.47165532,True,Taurus,True,Libra,Leo,date_only_midpoint
Q12,Dedee Pfeiffer,career_period_candidate,1985-07-01,year,1985,https://en.wikipedia.org/wiki/Dedee_Pfeiffer,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q23,Isaac Asimov,career_period_candidate,1939-07-01,year,1939,https://en.wikipedia.org/wiki/Isaac_Asimov,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q23,Isaac Asimov,career_period_candidate,1992-07-01,year,1992,https://en.wikipedia.org/wiki/Isaac_Asimov,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q28,Brian Boucher,career_period_candidate,1997-07-01,year,1997,https://en.wikipedia.org/wiki/Brian_Boucher,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q28,Brian Boucher,career_period_candidate,2013-07-01,year,2013,https://en.wikipedia.org/wiki/Brian_Boucher,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q33,Savitribai Phule,career_period_candidate,1848-07-01,year,1848,https://en.wikipedia.org/wiki/Savitribai_Phule,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q33,Savitribai Phule,career_period_candidate,1897-07-01,year,1897,https://en.wikipedia.org/wiki/Savitribai_Phule,career_active,candidate_extraction_only,,,,,,,,not_exact_day
Q37,Betty Furness,marriage_or_spouse_date_candidate,1937-07-01,year,1937,https://en.wikipedia.org/wiki/Betty_Furness,spouse,candidate_extraction_only,,,,,,,,not_exact_day
Q37,Betty Furness,marriage_or_spouse_date_candidate,1943-07-01,year,1943,https://en.wikipedia.org/wiki/Betty_Furness,spouse,candidate_extraction_only,,,,,,,,not_exact_day
