feature,description,event_count,event_rate,control_count,control_rate,risk_ratio_continuity_corrected,odds_ratio,fisher_p
Saturn_within_3deg,within 3 degrees,4,0.024844720496894408,4,0.008888888888888889,2.7839506172839505,2.840764331210191,0.21705312965822707
Mars_retrograde,retrograde,19,0.11801242236024845,35,0.07777777777777778,1.5292123109024516,1.5865191146881288,0.14465305360528252
Mars_same_natal_sign,same natal sign,15,0.09316770186335403,28,0.06222222222222222,1.5140784058912715,1.5484344422700587,0.20896795161426296
Mars_within_3deg,within 3 degrees,4,0.024844720496894408,9,0.02,1.3187134502923976,1.2484076433121019,0.752038680324139
Saturn_same_natal_sign,same natal sign,19,0.11801242236024845,42,0.09333333333333334,1.277342047930283,1.2997987927565393,0.3618560389037263
Jupiter_same_natal_sign,same natal sign,16,0.09937888198757763,36,0.08,1.258498224251649,1.2689655172413794,0.5101818104161427
Venus_retrograde,retrograde,14,0.08695652173913043,39,0.08666666666666667,1.02195655571183,1.0036630036630036,1.0
Rahu_mean_retrograde,retrograde,161,1.0,450,1.0,0.9980200326112275,nan,1.0
Ketu_retrograde,retrograde,161,1.0,450,1.0,0.9980200326112275,nan,1.0
Jupiter_retrograde,retrograde,51,0.3167701863354037,145,0.32222222222222224,0.9853845827499894,0.9752351097178683,0.9219497159851979
Saturn_retrograde,retrograde,60,0.37267080745341613,180,0.4,0.9331247221367258,0.8910891089108911,0.5733749901486216
Rahu_mean_within_3deg,within 3 degrees,3,0.018633540372670808,11,0.024444444444444446,0.847289318303811,0.7577675489067894,1.0
Ketu_within_3deg,within 3 degrees,3,0.018633540372670808,11,0.024444444444444446,0.847289318303811,0.7577675489067894,1.0
Rahu_mean_same_natal_sign,same natal sign,13,0.08074534161490683,56,0.12444444444444444,0.6651917404129793,0.6180019305019305,0.14824672895262264
Ketu_same_natal_sign,same natal sign,13,0.08074534161490683,56,0.12444444444444444,0.6651917404129793,0.6180019305019305,0.14824672895262264
Venus_same_natal_sign,same natal sign,8,0.049689440993788817,40,0.08888888888888889,0.5842859320225575,0.5359477124183006,0.1263871691968028
Venus_within_3deg,within 3 degrees,1,0.006211180124223602,7,0.015555555555555555,0.5567901234567901,0.39553571428571427,0.6877534806369909
Jupiter_within_3deg,within 3 degrees,0,0.0,14,0.03111111111111111,0.09599829714772243,0.0,0.02644560201700413
