id,name,birth_date,source_url,birth_time_used,birth_Saturn_sign,birth_Saturn_degree,birth_Saturn_retrograde,birth_Mars_sign,birth_Mars_degree,birth_Mars_retrograde,birth_Venus_sign,birth_Venus_degree,birth_Venus_retrograde,birth_Jupiter_sign,birth_Jupiter_degree,birth_Jupiter_retrograde,birth_Rahu_mean_sign,birth_Rahu_mean_degree,birth_Rahu_mean_retrograde,birth_Ketu_sign,birth_Ketu_degree,birth_Ketu_retrograde
B200_001,Leonardo DiCaprio,1974-11-11,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,False,Gemini,25.28758036,True,Libra,16.11769119,False,Libra,26.44562039,False,Aquarius,14.58534103,False,Scorpio,17.76019183,True,Taurus,17.76019183,True
B200_002,Taylor Swift,1989-12-13,https://en.wikipedia.org/wiki/Taylor_Swift,False,Sagittarius,19.73207909,False,Scorpio,3.01558876,False,Capricorn,8.16100663,False,Gemini,13.96093463,True,Capricorn,25.72111825,True,Cancer,25.72111825,True
B200_003,Oprah Winfrey,1954-01-29,https://en.wikipedia.org/wiki/Oprah_Winfrey,False,Libra,15.82625227,False,Scorpio,0.39256239,False,Capricorn,15.71332695,False,Taurus,23.43349265,True,Capricorn,0.02281713,True,Cancer,0.02281713,True
B200_004,Dwayne Johnson,1972-05-02,https://en.wikipedia.org/wiki/Dwayne_Johnson,False,Taurus,12.80345469,False,Gemini,0.06999431,False,Gemini,1.56016049,False,Sagittarius,14.76167853,True,Capricorn,6.67184324,True,Cancer,6.67184324,True
B200_005,Shakira,1977-02-02,https://en.wikipedia.org/wiki/Shakira,False,Cancer,19.89103211,True,Capricorn,1.07659904,False,Pisces,6.69987127,False,Aries,28.18828626,False,Libra,4.62467456,True,Aries,4.62467456,True
B200_006,Cristiano Ronaldo,1985-02-05,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,False,Scorpio,3.71923125,False,Pisces,8.44510321,False,Pisces,9.20117416,False,Capricorn,6.09080102,False,Aries,29.62298467,True,Libra,29.62298467,True
B200_007,Lionel Messi,1987-06-24,https://en.wikipedia.org/wiki/Lionel_Messi,False,Scorpio,23.07905077,True,Gemini,28.51221914,False,Taurus,22.4895885,False,Aries,1.28179027,False,Pisces,13.57291485,True,Virgo,13.57291485,True
B200_008,Serena Williams,1981-09-26,https://en.wikipedia.org/wiki/Serena_Williams,False,Virgo,18.04920476,False,Cancer,21.66464638,False,Libra,22.13100268,False,Virgo,23.33308095,False,Cancer,4.6971954,True,Capricorn,4.6971954,True
B200_009,Tiger Woods,1975-12-30,https://en.wikipedia.org/wiki/Tiger_Woods,False,Cancer,7.64363677,True,Taurus,24.25613709,True,Scorpio,4.06527203,False,Pisces,21.90423882,False,Libra,25.82148875,True,Aries,25.82148875,True
B200_010,Michael Phelps,1985-06-30,https://en.wikipedia.org/wiki/Michael_Phelps,False,Libra,28.32422899,True,Gemini,20.28220367,False,Taurus,0.16372555,False,Capricorn,22.29109147,True,Aries,21.93914088,True,Libra,21.93914088,True
B200_011,Usain Bolt,1986-08-21,https://en.wikipedia.org/wiki/Usain_Bolt,False,Scorpio,9.56053231,False,Sagittarius,18.3319625,False,Virgo,20.41330612,False,Aquarius,26.76410711,True,Pisces,29.84146632,True,Virgo,29.84146632,True
B200_012,Neymar Jr,1992-02-05,https://en.wikipedia.org/wiki/Neymar,False,Capricorn,16.2732626,False,Sagittarius,26.57863823,False,Sagittarius,19.99892133,False,Leo,18.8118617,True,Sagittarius,14.17537383,True,Gemini,14.17537383,True
B200_013,Virat Kohli,1988-11-05,https://en.wikipedia.org/wiki/Virat_Kohli,False,Sagittarius,5.63104943,False,Pisces,6.61913337,False,Virgo,14.18997728,False,Taurus,9.6598829,True,Aquarius,17.07690319,True,Leo,17.07690319,True
B200_014,LeBron James,1984-12-30,https://en.wikipedia.org/wiki/LeBron_James,False,Scorpio,0.94286689,False,Aquarius,10.34951523,False,Aquarius,1.02362394,False,Sagittarius,27.4661041,False,Taurus,1.58368965,True,Scorpio,1.58368965,True
B200_015,Kobe Bryant,1978-08-23,https://en.wikipedia.org/wiki/Kobe_Bryant,False,Leo,9.89572931,False,Virgo,18.48213076,False,Virgo,22.40852494,False,Cancer,3.88559501,False,Virgo,4.57819119,True,Pisces,4.57819119,True
B200_016,Muhammad Ali,1942-01-17,https://en.wikipedia.org/wiki/Muhammad_Ali,False,Aries,28.61839507,True,Aries,9.74379404,False,Capricorn,27.72671123,True,Taurus,18.94245445,True,Leo,22.92292927,True,Aquarius,22.92292927,True
B200_017,Pele,1940-10-23,https://en.wikipedia.org/wiki/Pel%C3%A9,False,Aries,19.17954137,True,Virgo,18.5382461,False,Leo,26.06880552,False,Aries,19.00878633,True,Virgo,16.82235214,True,Pisces,16.82235214,True
B200_018,Diego Maradona,1960-10-30,https://en.wikipedia.org/wiki/Diego_Maradona,False,Sagittarius,20.09588094,False,Gemini,22.50020419,False,Scorpio,17.40937392,False,Sagittarius,7.45626593,False,Leo,19.34441483,True,Aquarius,19.34441483,True
B200_019,Jennifer Aniston,1969-02-11,https://en.wikipedia.org/wiki/Jennifer_Aniston,False,Pisces,27.63355901,False,Scorpio,0.03288318,False,Pisces,15.13662845,False,Virgo,11.87205546,True,Pisces,8.9904835,True,Virgo,8.9904835,True
B200_020,Angelina Jolie,1975-06-04,https://en.wikipedia.org/wiki/Angelina_Jolie,False,Gemini,23.84928412,False,Pisces,17.06106807,False,Cancer,4.45782851,False,Pisces,23.8749876,False,Scorpio,6.89682431,True,Taurus,6.89682431,True
B200_021,Brad Pitt,1963-12-18,https://en.wikipedia.org/wiki/Brad_Pitt,False,Capricorn,25.79307682,False,Sagittarius,16.66107871,False,Capricorn,0.09441529,False,Pisces,16.48418693,False,Gemini,18.72151174,True,Sagittarius,18.72151174,True
B200_022,Johnny Depp,1963-06-09,https://en.wikipedia.org/wiki/Johnny_Depp,False,Capricorn,29.73892273,True,Leo,9.82027282,False,Taurus,2.61622596,False,Pisces,20.61755957,False,Gemini,28.89598478,True,Sagittarius,28.89598478,True
B200_023,Will Smith,1968-09-25,https://en.wikipedia.org/wiki/Will_Smith,False,Aries,0.19154981,True,Leo,8.91739742,False,Libra,5.1107111,False,Leo,26.52341608,False,Pisces,16.35637743,True,Virgo,16.35637743,True
B200_024,Tom Cruise,1962-12-03,https://en.wikipedia.org/wiki/Tom_Cruise,False,Capricorn,13.82955881,False,Cancer,28.4404782,False,Libra,18.88057789,False,Aquarius,11.50079778,False,Cancer,8.85848971,True,Capricorn,8.85848971,True
B200_025,Meryl Streep,1949-06-22,https://en.wikipedia.org/wiki/Meryl_Streep,False,Leo,8.41912778,False,Taurus,15.67974582,False,Gemini,25.26597081,False,Capricorn,7.38182155,True,Pisces,29.15545919,True,Virgo,29.15545919,True
B200_026,Denzel Washington,1954-12-28,https://en.wikipedia.org/wiki/Denzel_Washington,False,Libra,24.78907856,False,Aquarius,24.06266562,False,Scorpio,0.09926769,False,Cancer,4.04138997,True,Sagittarius,12.37646258,True,Gemini,12.37646258,True
B200_027,Morgan Freeman,1937-06-01,https://en.wikipedia.org/wiki/Morgan_Freeman,False,Pisces,10.44613505,False,Scorpio,0.98980069,True,Aries,5.11023676,False,Capricorn,3.88105772,True,Scorpio,22.53251914,True,Taurus,22.53251914,True
B200_028,Tom Hanks,1956-07-09,https://en.wikipedia.org/wiki/Tom_Hanks,False,Scorpio,3.26969043,True,Aquarius,23.98604042,False,Taurus,29.62542169,True,Leo,7.05819378,False,Scorpio,12.75390426,True,Taurus,12.75390426,True
B200_029,Steven Spielberg,1946-12-18,https://en.wikipedia.org/wiki/Steven_Spielberg,False,Cancer,15.06966701,True,Sagittarius,7.6776194,False,Libra,25.95865987,False,Libra,24.73469318,False,Taurus,17.74917969,True,Scorpio,17.74917969,True
B200_030,James Cameron,1954-08-16,https://en.wikipedia.org/wiki/James_Cameron,False,Libra,10.74375007,False,Sagittarius,4.53222901,False,Virgo,14.85401301,False,Gemini,25.41260645,False,Sagittarius,19.47739801,True,Gemini,19.47739801,True
B200_031,Quentin Tarantino,1963-03-27,https://en.wikipedia.org/wiki/Quentin_Tarantino,False,Capricorn,26.28014308,False,Cancer,12.67382494,False,Aquarius,3.64671272,False,Pisces,4.82766295,False,Cancer,2.81739628,True,Capricorn,2.81739628,True
B200_032,Martin Scorsese,1942-11-17,https://en.wikipedia.org/wiki/Martin_Scorsese,False,Taurus,17.13250888,True,Libra,17.47278403,False,Scorpio,1.7022474,False,Cancer,2.1419438,True,Leo,6.81334074,True,Aquarius,6.81334074,True
B200_033,Christopher Nolan,1970-07-30,https://en.wikipedia.org/wiki/Christopher_Nolan,False,Aries,28.04126595,False,Cancer,14.40374858,False,Leo,26.8084963,False,Libra,4.59417596,False,Aquarius,10.69273317,True,Leo,10.69273317,True
B200_034,Paul McCartney,1942-06-18,https://en.wikipedia.org/wiki/Paul_McCartney,False,Taurus,12.15696524,False,Cancer,9.62850787,False,Aries,25.94120885,False,Gemini,8.78128871,False,Leo,14.86813498,True,Aquarius,14.86813498,True
B200_035,John Lennon,1940-10-09,https://en.wikipedia.org/wiki/John_Lennon,False,Aries,20.19985453,True,Virgo,9.48414284,False,Leo,9.92511064,False,Aries,20.68553725,True,Virgo,17.5642411,True,Pisces,17.5642411,True
B200_036,George Harrison,1943-02-25,https://en.wikipedia.org/wiki/George_Harrison,False,Taurus,12.87109816,False,Sagittarius,28.73404986,False,Pisces,6.93575314,False,Gemini,22.46084478,True,Leo,1.51413403,True,Aquarius,1.51413403,True
B200_037,Ringo Starr,1940-07-07,https://en.wikipedia.org/wiki/Ringo_Starr,False,Aries,19.59648037,False,Cancer,9.55653778,False,Gemini,6.14624663,True,Aries,17.43799212,False,Virgo,22.54549559,True,Pisces,22.54549559,True
B200_038,Bob Dylan,1941-05-24,https://en.wikipedia.org/wiki/Bob_Dylan,False,Aries,26.9624917,False,Aquarius,12.52357471,False,Taurus,19.17530984,False,Taurus,6.48296964,False,Virgo,5.5350415,True,Pisces,5.5350415,True
B200_039,Winston Churchill,1874-11-30,https://en.wikipedia.org/wiki/Winston_Churchill,False,Capricorn,17.51872868,False,Virgo,24.70844274,False,Scorpio,29.72180897,True,Libra,1.53930785,False,Aries,2.23622896,True,Libra,2.23622896,True
B200_040,Franklin D. Roosevelt,1882-01-30,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,False,Aries,13.84996896,False,Gemini,4.81163273,True,Capricorn,13.12689905,False,Aries,24.68284383,False,Scorpio,13.50283908,True,Taurus,13.50283908,True
B200_041,Adolf Hitler,1889-04-20,https://en.wikipedia.org/wiki/Adolf_Hitler,False,Cancer,21.1504733,False,Aries,23.90500216,False,Aries,24.48960483,True,Sagittarius,15.93524755,False,Gemini,23.76261523,True,Sagittarius,23.76261523,True
B200_042,Vladimir Lenin,1870-04-22,https://en.wikipedia.org/wiki/Vladimir_Lenin,False,Sagittarius,6.31859724,True,Aries,1.34788356,False,Aquarius,24.60351224,False,Taurus,4.04098459,False,Cancer,1.42198834,True,Capricorn,1.42198834,True
B200_043,Joseph Stalin,1878-12-18,https://en.wikipedia.org/wiki/Joseph_Stalin,False,Pisces,4.2891122,False,Scorpio,3.76480941,False,Sagittarius,7.39156202,False,Capricorn,15.42007525,False,Capricorn,13.8608702,True,Cancer,13.8608702,True
B200_044,Benito Mussolini,1883-07-29,https://en.wikipedia.org/wiki/Benito_Mussolini,False,Taurus,15.3285142,False,Taurus,20.86761875,False,Gemini,29.25682146,False,Gemini,26.30138869,False,Libra,14.6221317,True,Aries,14.6221317,True
B200_045,Dwight D. Eisenhower,1890-10-14,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,False,Leo,20.34889755,False,Sagittarius,21.42122685,False,Scorpio,13.40041618,False,Capricorn,10.4197425,False,Taurus,25.04088787,True,Scorpio,25.04088787,True
