name,event_date,event_type,event_description,ruling_mahadasha,ruling_antardasha,source_url,source_type
Indira Gandhi,1966-01-24,career_peak,Elected Prime Minister of India,Jupiter,Saturn,https://en.wikipedia.org/wiki/Indira_Gandhi,wikipedia
Indira Gandhi,1971-12-16,military_victory,Bangladesh Liberation War victory,Saturn,Ketu,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1971,wikipedia
Indira Gandhi,1975-06-25,political_crisis,Declared National Emergency,Saturn,Sun,https://en.wikipedia.org/wiki/The_Emergency_(India),wikipedia
Indira Gandhi,1977-03-24,electoral_defeat,Lost general election,Saturn,Moon,https://en.wikipedia.org/wiki/1977_Indian_general_election,wikipedia
Indira Gandhi,1980-01-14,comeback,Re-elected Prime Minister,Saturn,Rahu,https://en.wikipedia.org/wiki/1980_Indian_general_election,wikipedia
Indira Gandhi,1984-10-31,death,Assassinated by bodyguards,Saturn,Saturn,https://en.wikipedia.org/wiki/Assassination_of_Indira_Gandhi,wikipedia
Oprah Winfrey,1986-09-08,career_breakthrough,The Oprah Winfrey Show goes national,Ketu,Mercury,https://en.wikipedia.org/wiki/The_Oprah_Winfrey_Show,wikipedia
Oprah Winfrey,1988-06-01,business_milestone,Gained full ownership of Harpo,Venus,Ketu,https://en.wikipedia.org/wiki/Harpo_Productions,wikipedia
Oprah Winfrey,2011-05-25,career_closure,Final episode of Oprah Show,Sun,Jupiter,https://en.wikipedia.org/wiki/The_Oprah_Winfrey_Show,wikipedia
Oprah Winfrey,2018-01-09,recognition,Golden Globes Cecil B DeMille speech,Moon,Rahu,https://en.wikipedia.org/wiki/Oprah_Winfrey,wikipedia
