name,loop_len,bond,achievement,shrinkala_type,shrinkala_status
Leonardo DiCaprio,0,0,9,None,NONE (bond=0)
Taylor Swift,2,100,9,Parivartana,STRONG (bond=100)
Oprah Winfrey,2,100,9,Parivartana,STRONG (bond=100)
Dwayne Johnson,0,0,9,None,NONE (bond=0)
Shakira,5,25,9,5-loop Srinkhala,IGNORE (bond=25)
Cristiano Ronaldo,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Lionel Messi,0,0,10,None,NONE (bond=0)
Serena Williams,0,0,9,None,NONE (bond=0)
Tiger Woods,2,100,9,Parivartana,STRONG (bond=100)
Michael Phelps,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Usain Bolt,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Neymar Jr,0,0,9,None,NONE (bond=0)
Virat Kohli,2,100,9,Parivartana,STRONG (bond=100)
LeBron James,2,100,10,Parivartana,STRONG (bond=100)
Kobe Bryant,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Muhammad Ali,0,0,10,None,NONE (bond=0)
Pele,2,100,10,Parivartana,STRONG (bond=100)
Diego Maradona,2,100,10,Parivartana,STRONG (bond=100)
Jennifer Aniston,3,50,8,3-loop Shrinkala,MEANINGFUL (bond=50)
Angelina Jolie,0,0,8,None,NONE (bond=0)
Brad Pitt,0,0,8,None,NONE (bond=0)
Johnny Depp,0,0,8,None,NONE (bond=0)
Will Smith,0,0,8,None,NONE (bond=0)
Tom Cruise,0,0,8,None,NONE (bond=0)
Meryl Streep,2,100,9,Parivartana,STRONG (bond=100)
Denzel Washington,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Morgan Freeman,2,100,9,Parivartana,STRONG (bond=100)
Tom Hanks,2,100,9,Parivartana,STRONG (bond=100)
Steven Spielberg,0,0,10,None,NONE (bond=0)
James Cameron,4,33,10,4-loop Srinkhala,WEAK (bond=33)
Quentin Tarantino,2,100,9,Parivartana,STRONG (bond=100)
Martin Scorsese,2,100,10,Parivartana,STRONG (bond=100)
Christopher Nolan,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Paul McCartney,0,0,10,None,NONE (bond=0)
John Lennon,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
George Harrison,4,33,9,4-loop Srinkhala,WEAK (bond=33)
Ringo Starr,0,0,9,None,NONE (bond=0)
Bob Dylan,2,100,10,Parivartana,STRONG (bond=100)
Winston Churchill,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Franklin D. Roosevelt,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Adolf Hitler,0,0,7,None,NONE (bond=0)
Vladimir Lenin,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Joseph Stalin,2,100,9,Parivartana,STRONG (bond=100)
Benito Mussolini,2,100,7,Parivartana,STRONG (bond=100)
Dwight D. Eisenhower,0,0,9,None,NONE (bond=0)
John F. Kennedy,0,0,10,None,NONE (bond=0)
Ronald Reagan,4,33,9,4-loop Srinkhala,WEAK (bond=33)
Margaret Thatcher,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Indira Gandhi,2,100,9,Parivartana,STRONG (bond=100)
Jawaharlal Nehru,0,0,9,None,NONE (bond=0)
Rosa Parks,0,0,8,None,NONE (bond=0)
Martin Luther King Jr,4,33,10,4-loop Srinkhala,WEAK (bond=33)
Malcolm X,2,100,9,Parivartana,STRONG (bond=100)
Anne Frank,4,33,8,4-loop Srinkhala,WEAK (bond=33)
Helen Keller,3,50,8,3-loop Shrinkala,MEANINGFUL (bond=50)
Gianluigi Buffon,2,100,9,Parivartana,STRONG (bond=100)
Zinedine Zidane,2,100,9,Parivartana,STRONG (bond=100)
Ronaldinho,2,100,9,Parivartana,STRONG (bond=100)
Ronaldo,0,0,9,None,NONE (bond=0)
Roger Federer,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Rafael Nadal,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Novak Djokovic,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Martina Navratilova,2,100,9,Parivartana,STRONG (bond=100)
Venus Williams,0,0,9,None,NONE (bond=0)
Sachin Tendulkar,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Ricky Ponting,3,50,8,3-loop Shrinkala,MEANINGFUL (bond=50)
Steve Smith,0,0,8,None,NONE (bond=0)
Wasim Akram,2,100,8,Parivartana,STRONG (bond=100)
Brian Lara,3,50,8,3-loop Shrinkala,MEANINGFUL (bond=50)
Viv Richards,2,100,8,Parivartana,STRONG (bond=100)
Imran Khan,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Shane Warne,0,0,8,None,NONE (bond=0)
Elon Musk,0,0,10,None,NONE (bond=0)
Bill Gates,0,0,10,None,NONE (bond=0)
Jeff Bezos,0,0,10,None,NONE (bond=0)
Steve Jobs,4,33,10,4-loop Srinkhala,WEAK (bond=33)
Mark Zuckerberg,2,100,9,Parivartana,STRONG (bond=100)
Larry Page,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Sergey Brin,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Jack Ma,2,100,9,Parivartana,STRONG (bond=100)
Satya Nadella,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Tim Cook,3,50,9,3-loop Shrinkala,MEANINGFUL (bond=50)
Sundar Pichai,2,100,9,Parivartana,STRONG (bond=100)
Sheryl Sandberg,0,0,8,None,NONE (bond=0)
Susan Wojcicki,0,0,8,None,NONE (bond=0)
Marissa Mayer,0,0,8,None,NONE (bond=0)
Bob Iger,2,100,8,Parivartana,STRONG (bond=100)
Mary Barra,0,0,8,None,NONE (bond=0)
Jamie Dimon,4,33,8,4-loop Srinkhala,WEAK (bond=33)
Lloyd Blankfein,0,0,8,None,NONE (bond=0)
Warren Buffett,0,0,10,None,NONE (bond=0)
Mukesh Ambani,2,100,10,Parivartana,STRONG (bond=100)
Beyonce,0,0,9,None,NONE (bond=0)
Albert Einstein,2,100,10,Parivartana,STRONG (bond=100)
Stephen Hawking,0,0,10,None,NONE (bond=0)
Marie Curie,0,0,10,None,NONE (bond=0)
Donald Trump,4,33,9,4-loop Srinkhala,WEAK (bond=33)
Barack Obama,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
John D. Rockefeller,4,33,10,4-loop Srinkhala,WEAK (bond=33)
Stan Lee,5,25,8,5-loop Srinkhala,IGNORE (bond=25)
Mahatma Gandhi,0,0,10,None,NONE (bond=0)
Abraham Lincoln,0,0,10,None,NONE (bond=0)
Nelson Mandela,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Walt Disney,0,0,9,None,NONE (bond=0)
Henry Ford,3,50,10,3-loop Shrinkala,MEANINGFUL (bond=50)
Michael Jackson,0,0,9,None,NONE (bond=0)
A.P.J. Abdul Kalam,0,0,9,None,NONE (bond=0)
Polgahawela Bappa,2,100,8,Parivartana,STRONG (bond=100)
Upulakshi,2,100,5,Parivartana,STRONG (bond=100)
Senith,5,25,4,5-loop Srinkhala,IGNORE (bond=25)
Niromi,0,0,9,None,NONE (bond=0)
