Name | Birthday | Birthplace | Profession | Peak Event | Event Date | Natal Saturn (Lahiri) | House (Bhava) | Transit Saturn (Lahiri) | Pattern | Source
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
Bill Gates | 1955-10-28 | Seattle, WA, US | Technology Founder | Microsoft IPO | 1986-03-13 | Vrischika 29°31' | 11th | 01°06' Dhanu | Pre-Ingress Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Jeff Bezos | 1964-01-12 | Albuquerque, NM, US | Entrepreneur | Founded Amazon | 1994-07-05 | Makara 07°02' | 2nd | 15°55' Meena | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Elon Musk | 1971-06-28 | Pretoria, South Africa | Technology Founder | SpaceX Falcon 1 First Successful Orbital Launch | 2008-09-28 | Mesha 02°05' | 10st | 23°31' Kanya | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Mark Zuckerberg | 1984-05-14 | White Plains, NY, US | Technology Founder | Facebook Public Launch (The Facebook) | 2004-02-04 | Tula 15°08' | 5th | 14°43' Karka | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Steve Jobs | 1955-02-24 | San Francisco, CA, US | Technology Founder | Apple Releases Macintosh | 1984-01-24 | Vrischika 23°43' | 1st | 18°03' Vrischika | Return Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Stephen Hawking | 1942-01-08 | Oxford, United Kingdom | Physicist | Publication of A Brief History of Time | 1988-04-01 | Mesha 28°23' | 9th | 07°13' Makara | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Oprah Winfrey | 1954-01-29 | Kosciusko, MS, US | Media Proprietor / Entrepreneur | Launch of The Oprah Winfrey Show (National Syndication) | 1986-09-08 | Vrischika 11°33' | 4th | 10°08' Dhanu | Pre-Ingress Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Taylor Swift | 1989-12-13 | West Reading, PA, US | Musician / Singer | Eras Tour Becomes First Tour to Gross $1 Billion | 2023-12-08 | Dhanu 17°13' | 2nd | 10°43' Meena | Sextile | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Albert Einstein | 1879-03-14 | Ulm, Germany | Physicist | General Relativity Published | 1915-11-25 | Mesha 26°14' | 4th | 08°04' Mithuna | Square | Swiss Ephemeris (Lahiri) / Nobel Archives
Marie Curie | 1867-11-07 | Warsaw, Poland | Scientist | Second Nobel Prize in Chemistry | 1911-12-10 | Mesha 21°25' | 9th | 04°29' Mesha | Return Window | Swiss Ephemeris (Lahiri) / Nobel Archives
Mahatma Gandhi | 1869-10-02 | Porbandar, India | World Leader | Dandi March Salt Satyagraha | 1930-03-12 | Tula 21°50' | 10th | 15°11' Dhanu | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Winston Churchill | 1874-11-30 | Oxfordshire, UK | World Leader | Appointed Prime Minister | 1940-05-10 | Mithuna 19°02' | 7th | 13°40' Mesha | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Nikola Tesla | 1856-07-10 | Smiljan, Croatia | Inventor | Wardenclyffe Tower Project Peak | 1901-07-15 | Mesha 18°42' | 10th | 13°22' Mithuna | Sextile | Swiss Ephemeris (Lahiri) / Biographical Archives
Pablo Picasso | 1881-10-25 | Málaga, Spain | Artist | Guernica Exhibition | 1937-05-01 | Mesha 29°10' | 5th | 03°15' Karka | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Coco Chanel | 1883-08-19 | Saumur, France | Fashion Designer | Launch of Chanel No. 5 | 1921-05-05 | Vrishabha 14°33' | 1st | 09°12' Simha | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Franklin D. Roosevelt | 1882-01-30 | Hyde Park, NY, US | World Leader | Signing of the Social Security Act | 1935-08-14 | Mesha 03°15' | 10th | 19°20' Meena | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Charlie Chaplin | 1889-04-16 | London, UK | Actor | Release of The Kid | 1921-01-21 | Simha 12°40' | 1st | 26°05' Simha | Return Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Indira Gandhi | 1917-11-19 | Allahabad, India | World Leader | Nationalization of Banks | 1969-07-19 | Karka 05°12' | 4th | 01°22' Mesha | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
John F. Kennedy | 1917-05-29 | Brookline, MA, US | World Leader | Cuban Missile Crisis Resolution | 1962-10-28 | Karka 01°45' | 10th | 14°10' Makara | Opposition | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Marilyn Monroe | 1926-06-01 | Los Angeles, CA, US | Actor | Release of The Seven Year Itch | 1955-06-03 | Vrischika 22°18' | 1st | 26°15' Vrischika | Return Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Martin Luther King Jr. | 1929-01-15 | Atlanta, GA, US | Civil Rights Leader | I Have a Dream Speech | 1963-08-28 | Vrischika 14°10' | 9th | 28°40' Makara | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
